Tipo,Versao,Vezes,Relativo
"""TargetSdk""",19,1,"0,003215434083601"
"""TargetSdk""",21,8,"0,02572347266881"
"""TargetSdk""",22,7,"0,022508038585209"
"""TargetSdk""",23,13,"0,041800643086817"
"""TargetSdk""",24,15,"0,048231511254019"
"""TargetSdk""",25,19,"0,061093247588425"
"""TargetSdk""",26,46,"0,147909967845659"
"""TargetSdk""",27,177,"0,569131832797428"
"""TargetSdk""",28,25,"0,080385852090032"
"""MinSdk""",19,1,"0,008620689655172"
"""MinSdk""",21,62,"0,53448275862069"
"""MinSdk""",22,0,0
"""MinSdk""",23,22,"0,189655172413793"
"""MinSdk""",24,18,"0,155172413793103"
"""MinSdk""",25,5,"0,043103448275862"
"""MinSdk""",26,6,"0,051724137931035"
"""MinSdk""",27,1,"0,008620689655172"
"""MinSdk""",28,1,"0,008620689655172"
